title,author,year
AI for Absolute Beginners: Easy Guide with Clear Explanations and Real-World Applications of Artificial Intelligence to Quickly Gain Confidence—No Tech Skills Required,Ava Sinclair,
"AI in 10 Minutes - The Only Guide You Don't Need for 2026: Master ChatGPT, Manus, and Any AI Tool with One Simple Prompt—A Hands-On Quick Start for Complete Beginners (Generation AI)",Rafi Boghosians,
Cracking the Kubernetes Interview: Discover expert tips and best practices to ace your Kubernetes technical interviews,Viktor Vedmich,
Data Science on Google Cloud Platform,Lak,2017
Essential GCP Exam Study Tips from Certified Experts,Safwan Azeem,
"Generative AI with LangChain: Build production-ready LLM applications and advanced agents using Python, LangChain, and LangGraph",Ben Auffarth,2024
"Google Cloud Associate Cloud Engineer Certification and Implementation Guide: Master the deployment, management, and monitoring of Google Cloud solutions",Agnieszka Koziorowska,2020
Google Cloud Certified Associate Cloud Engineer Study Guide (Sybex Study Guide),Dan Sullivan,2020
Google Cloud Certified Professional Cloud Architect All-in-One Exam Guide,Ghanizada,
Google Cloud Certified Professional Cloud Architect Study Guide,Sullivan,
Google Cloud Cookbook,Rui and Drew,
Google Cloud Digital Leader Certification Guide: A comprehensive study guide to Google Cloud concepts and technologies,Bruno Beraldo Rodrigues,2023
"Google Cloud Digital Leader Certification Study Guide: The Ultimate AI-Powered Mastery Guide to Cloud Strategy, Innovation, and Digital Transformation","Rayithi, Mohan",
Google Cloud Digital Leader Exam Study Guide (Google Cloud Pro-Certification Series),"Patil, Manoj",
Google Cloud Platform (GCP) Professional Cloud Network Engineer Certification Companion,Dario Cabianca,2020
Google Cloud Platform All-In-One Guide: Get Familiar with a Portfolio of Cloud-based Services in GCP (English Edition),Praveen Kukreti,2019
Google Cloud Platform in Action,JJ Geewax,2015
Google Cloud for Beginners: Build Scalable Applications on GCP Step-by-Step,MIGUEL. FARMER,
Google Cloud: GCP: Google Cloud Platform: Learn Google Cloud Platform from the Scratch: The Ultimate Guide for Beginners,Adney Ainsley,
Kubernetes Up & Running,,2017
Kubernetes in Action,Marko Luksa,2018
Mastering Qlik Sense Modern Cloud Analytics: Unlock advanced analytics and visualization power with Qlik Sense Cloud (English Edition),Steve Rey,
Official Google Cloud Certified Professional Cloud Security Engineer Exam Guide,Ankush Chowdhary,2020
Official Google Cloud Certified Professional Data Engineer Study Guide,Dan Sullivan,2020
Practical Wisdom for Software Professionals: Lessons Learned as a Software Engineer in the Real World,James N Gershfield,
Professional Cloud Architect Google Cloud Certification Guide,Clapa & Gerrard,
"THE AI WORKSHOP: Your Complete Beginner’s Guide to AI Prompts: An A-Z Guide to AI Prompt Engineering for Life, Work, and Business- NO CODING REQUIRED (THE AI WORKSHOP by Milo Foster)",Milo Foster,
The Kubernetes Book,Nigel Poulton,2017
The Only Official Google Cloud Study Guide,,2018
"The Quick & Easy Guide to AI for Absolute Beginners: 5-Minute Lessons on What AI Is, How It Works, and How to Start Using It — No Coding or Tech Skills Needed (Generative AI Made Simple)",John V. Sullivan,
"Ultimate Snowflake Architecture for Cloud Data Warehousing: Architect, Manage, Secure, and Optimize Your Data Infrastructure Using Snowflake for ...",Ganesh Bharathan,
VMware Certified Professional - Data Center Virtualization (VCP-DCV) Certification Guide: Master data center virtualization with expert VMware vSphere guidance (English Edition),Dinesh Shaw,2020
Visualizing Google Cloud,Priyanka,
